13 - PC Wise Voters Turn Out,,,,,,,,,,,,,,
,,,, VOTERS ,,,,,,,,,,
,,,, EVM ,,,,, POSTAL VOTES ,,,Voters Turn Out(Excl. Postal)%,,
 State Name , PC NO. , PC NAME , ELECTORS , MALE , FEMALE , THIRD GENDER , TOTAL , NRI ,, TOTAL VOTERS , VOTER TURN OUT (%) , MALE , FEMALE , THIRD GENDER 
Bihar,23,Samastipur (SC),1679030,496337,520796,0,1017133,0,2638,1019771,60.73572241,55.6761177,66.13080998,0
Bihar,24,Begusarai,1958382,603585,613828,3,1217416,0,9087,1226503,62.62838404,57.84352153,67.09668675,4.838709677
Bihar,25,Khagaria,1676454,467181,497927,4,965112,0,2299,967411,57.70578853,52.73024426,62.99396789,11.42857143
Bihar,26,Bhagalpur,1823820,546334,493759,3,1040096,0,3086,1043182,57.19764012,56.51273086,57.61441577,4.347826087
Bihar,27,Banka,1699394,497999,496121,0,994120,0,1740,995860,58.60088949,55.11948112,62.33576459,0
Bihar,28,Munger,1888025,547935,483085,1,1031021,0,5420,1036441,54.89551251,53.96625133,55.35883517,1.886792453
Bihar,29,Nalanda,2114809,559964,469057,0,1029021,0,2853,1031874,48.79277514,49.86047075,47.29961116,0
Bihar,30,Patna Sahib,2146008,548683,429918,1,978602,0,4337,982939,45.80313773,48.39865782,42.47265672,0.900900901
Bihar,31,Pataliputra,1925479,595000,478175,0,1073175,0,5634,1078809,56.02808444,58.8522719,52.29282451,0
Bihar,32,Arrah,2089353,607717,465201,1,1072919,0,9545,1082464,51.80857423,52.85134464,49.52239521,0.854700855
Bihar,33,Buxar,1829373,543539,436752,0,980291,0,6671,986962,53.95083452,55.95511147,50.90539507,0
Bihar,34,Sasaram (SC),1787878,531450,437794,0,969244,0,6333,975577,54.56619523,56.58701858,51.58552852,0
Bihar,35,Karakat,1771254,483732,380773,2,864507,0,5039,869546,49.09211214,51.6047955,45.66614577,3.50877193
Bihar,36,Jahanabad,1588454,443543,373430,1,816974,0,5259,822233,51.76309796,53.44612767,49.23126818,2.272727273
Bihar,37,Aurangabad,1742883,485950,446877,5,932832,0,2637,935469,53.67365451,52.80538453,54.32725681,9.615384615
Bihar,38,Gaya (SC),1704596,499260,455841,1,955102,0,2552,957654,56.18070205,56.47890893,55.55229221,1.724137931
Bihar,39,Nawada,1899747,482016,453338,1,935355,0,9336,944691,49.72720052,48.75782932,49.7585819,1.25
Bihar,40,Jamui (SC),1718814,479673,467631,2,947306,0,2255,949561,55.24512833,52.61274206,57.94152705,5.714285714
Chandigarh,1,CHANDIGARH,646729,240635,215557,15,456207,1,430,456637,70.60716312,70.31978282,70.78884886,71.42857143
Chhattisgarh,1,SARGUJA,1655239,648612,629773,7,1278392,0,2824,1281216,77.40368611,78.07256064,76.38787979,41.17647059
Chhattisgarh,2,RAIGARH,1733805,671128,675724,11,1346863,0,3878,1350741,77.90616592,77.55343059,77.81234958,39.28571429
Chhattisgarh,3,JANJGIR-CHAMPA,1897134,635661,607315,4,1242980,0,5494,1248474,65.80842471,65.80505106,65.22322805,16
Chhattisgarh,4,KORBA,1508840,574105,560913,18,1135036,0,2387,1137423,75.38393733,75.61724127,74.83230162,32.72727273
Chhattisgarh,5,BILASPUR,1876953,623184,584177,22,1207383,0,2878,1210261,64.48009087,65.34662809,63.27719906,24.17582418
Chhattisgarh,6,RAJNANDGAON,1716459,663568,640925,3,1304496,0,3382,1307878,76.19628549,77.23549699,74.76052835,50
Chhattisgarh,7,DURG,1940269,715194,674156,11,1389361,0,3358,1392719,71.77968622,73.08950883,70.10154053,16.66666667
Chhattisgarh,8,RAIPUR,2111738,721979,671279,33,1393291,0,3851,1397142,66.16076426,67.31544356,64.6137779,11.11111111
Chhattisgarh,9,MAHASAMUND,1637951,617513,602242,5,1219760,0,3007,1222767,74.65223319,75.89063621,73.06625125,22.72727273
Chhattisgarh,10,BASTAR,1379122,444689,465274,12,909975,0,3786,913761,66.25671986,67.03089648,65.01218435,29.26829268
Chhattisgarh,11,KANKER,1558952,577274,577547,8,1154829,0,5414,1160243,74.42454931,74.849141,73.32337994,25.80645161
Dadra & Nagar Haveli,1,Dadra And Nagar Haveli,250029,103446,95479,0,198925,0,59,198984,79.58436821,78.13319033,81.16960954,0
Daman & Diu,1,Daman & diu,121740,41600,45841,0,87441,0,32,87473,71.8523082,68.20007541,75.46713202,0
Goa,1,North Goa,556761,209594,218000,0,427594,1,1412,429006,77.05388847,76.96324312,76.64424764,0
Goa,2,South Goa,579352,199877,223780,0,423657,0,1061,424718,73.30914539,70.44644714,75.69776371,0
